Cluster3Words,Doc:1 SubA:1,Doc:2 SubA:3,Doc:3 SubA:1,Doc:4 SubA:1,Doc:5 SubA:1,Doc:6 SubA:2,Doc:7 SubA:3,Doc:8 SubA:3,Doc:9 SubA:3,Doc:10 SubA:3,Doc:11 SubA:3,Doc:12 SubA:3,Doc:13 SubA:3,Doc:14 SubA:3,Doc:15 SubA:3,Doc:16 SubA:3,Doc:17 SubA:2,Doc:18 SubA:2,Doc:19 SubA:3,Doc:20 SubA:3,Doc:21 SubA:3,Doc:22 SubA:2,Doc:23 SubA:3,Doc:24 SubA:1,Doc:25 SubA:3,Doc:26 SubA:2,Doc:27 SubA:2,Doc:28 SubA:2,Doc:29 SubA:2,Doc:30 SubA:2,Doc:31 SubA:1,Doc:32 SubA:2,Doc:33 SubA:2,Doc:34 SubA:3,Doc:35 SubA:3,Doc:36 SubA:3,Rewards_AvgScore,MaxScore,Top 5 Docs,Modified Rewards= Rewards_AvgScore +  CTP2 Entropy * Lambda = 0.5,Current Q-value ,"Max Next Q-value (max Q(s',a')) (e.g., 0.459)",the updated Q-value
"CTP3-T23: key, classic, qkd",0.092862632,0.073057736,0.029143476,0.039129109,0.13496929,0.13795831,0.212481089,0.224941124,0.155428261,0.076889451,0.401017386,0.354705868,0.147691343,0.085377668,0.082207384,0.480106244,0.00299523,0.054551331,0.144974933,0.166426401,0.470669929,0.65786437,0.15404397,0.046289046,0.188236306,0.041262512,0.054844471,0.049139541,0.044259737,0.115896487,0.153216598,0.20624199,0.015334381,0.037292318,0.234154638,0.423108725,0.464578754,0.472872759,22-16-21-11-12,2.224076459,0.623214517,0.585846276,0.836026876
"CTP3-T24: key, secur, qkd",0.113287089,0.079088652,0.017080349,0.036146242,0.14295312,0.152747636,0.216314773,0.24340434,0.153000224,0.075540767,0.419532133,0.377060556,0.161094304,0.090454357,0.088053219,0.519703737,0.008704577,0.052152349,0.117076991,0.130657024,0.488379905,0.64118589,0.163250242,0.020261996,0.150810091,0.041295497,0.094639325,0.082880212,0.048418705,0.107071395,0.164370167,0.170658935,0.01773834,0.031823659,0.219934708,0.428139626,0.479000308,0.489172444,22-16-21-11-12,2.196052393,0.670003733,0.585846276,0.875334764
"CTP3-T25: scheme, classic, key",0.101927179,0.027827372,0.019948254,0.08046814,0.08375936,0.115909065,0.198774894,0.12972658,0.135348671,0.072026323,0.280050496,0.15490418,0.075185763,0.092636993,0.105997353,0.291077347,0.032632085,0.099144834,0.01427333,0.013715174,0.305905738,0.660238934,0.079131512,0.13225536,0.013925918,0.044045028,0.043833301,0.082182735,0.068428011,0.152693837,0.148659469,0.252073597,0.027416413,0.0202451,0.308158431,0.229856451,0.424767701,0.369086189,22-35-21-16-11,0.970443303,0.234731714,0.585846276,0.361029038
"CTP3-T26: differ, protocol, system",0.268052585,0.06691668,0.038549244,0.025754983,0.229963426,0.129626466,0.037562924,0.093304644,0.086285901,0.213025612,0.095839966,0.077240525,0.229500253,0.093879261,0.123525133,0.130774316,0.037960947,0.090083176,0,0,0.076204738,0.105870265,0.007662057,0,0.065402169,0.033229538,0.067117781,0.125022331,0.028881962,0.054816075,0.274838253,0.128208409,0.035341359,0.037869221,0.231792059,0.166676951,0,0.246829315,31-1 -35-5 -13,0.522456922,0.234107531,0.585846276,0.315668635
"CTP3-T27: key, secur, scheme",0.159594804,0.076851373,0.035940979,0.07448932,0.18349325,0.192028037,0.220271396,0.226372454,0.134712061,0.053319314,0.380271648,0.327027039,0.196169965,0.083872829,0.068326507,0.432065743,0.007638059,0.06302641,0.11950357,0.141547517,0.427035258,0.62714807,0.12653847,0.082772904,0.173884996,0.049226082,0.146086375,0.104017876,0.068140306,0.083396784,0.216034149,0.137231875,0.020242872,0.034532781,0.174097328,0.346110951,0.423276451,0.438709552,22-16-21-11-12,1.652195582,0.461023907,0.585846276,0.632867239
"CTP3-T28: key, classic, secur",0.161953697,0.05645124,0.019012741,0.026354055,0.194128108,0.144790443,0.181177458,0.215246417,0.128590984,0.064695971,0.328349619,0.30987972,0.19193755,0.081896592,0.084665879,0.420859902,0.002365509,0.041817018,0.081156836,0.0950064,0.397729232,0.677426811,0.116704631,0.041756774,0.136796617,0.039011744,0.098555072,0.073995145,0.039084136,0.138964004,0.177983063,0.267710488,0.016101725,0.026615334,0.241491369,0.335000448,0.411540955,0.426849057,22-16-21-11-12,2.581628719,0.933397177,0.585846276,1.150946496
"CTP3-T29: optic, technolog, system",0.103138571,0.142199414,0.066711949,0.052772256,0.107632027,0.06282364,0.097646659,0.08496964,0.095239227,0.221680854,0.242606656,0.241799204,0.066911155,0.224730314,0.263323382,0.326566333,0.0279261,0.118291339,0.09922582,0.125921342,0.163053157,0.293521354,0.070165214,0.051114522,0.155835487,0.035621914,0.080322287,0.167258977,0.03453892,0.136958345,0.148294095,0.208208962,0.053474563,0.118375904,0.356393237,0.309093581,0.330684383,0.296482192,35-16-22-15-11,2.639518842,1.108229664,0.585846276,1.314084747
"CTP3-T30: technolog, develop, optic",0,0.07860297,0.007666259,0.015399384,0.017175896,0,0.040225257,0.018618931,0.02859296,0.080575859,0.07146087,0.077497964,0,0.080495193,0.095206553,0.094685204,0,0.047544986,0.034139523,0.043739231,0.099089779,0.08106157,0.020106241,0.044490452,0.044411328,0.021245001,0,0.05725722,0.013552129,0.019910322,0.003026748,0.052013646,0.029379652,0.011230027,0.133207746,0.103288745,0,0.10065017,35-21-15-16-22,0.296524108,0.165461787,0.585846276,0.231294184
"CTP3-T31: technolog, optic, develop",0.051395804,0.0978246,0.036378605,0.036864432,0.081422344,0.039910313,0.078474696,0.061489335,0.06037608,0.123023033,0.171812691,0.160173313,0.038191856,0.172755119,0.233205693,0.243533709,0.011642516,0.081159628,0.109372533,0.139352522,0.127731895,0.204855739,0.039247139,0.040280994,0.156205823,0.051509815,0.026472291,0.111758492,0.020981096,0.051788142,0.064766312,0.138055348,0.027771296,0.0789392,0.265643751,0.219863327,0,0.223998802,35-16-15-22-14,2.104140722,0.999027786,0.585846276,1.162265245
"CTP3-T32: key, qkd, protocol",0.234534664,0.119410588,0.014587936,0.075986669,0.228359997,0.125279497,0.239650983,0.233272545,0.203850883,0.085639491,0.392185895,0.372544481,0.248756785,0.108624303,0.143232215,0.488499459,0.019629544,0.068031555,0.153090852,0.166149188,0.361292305,0.428280625,0.160829327,0.022421476,0.2238668,0.033865232,0.096834696,0.153381564,0.032320571,0.076134118,0.255557048,0.114395776,0.021548337,0.131123267,0.255881941,0.430041477,0.412140707,0.408560553,16-22-11-12-21,2.8018409,2.350562073,0.585846276,2.448416121
"CTP3-T33: qkd, key, protocol",0.198673747,0.1160199,0.020581375,0.07082915,0.18171862,0.111489275,0.260525624,0.219818195,0.221919346,0.111928771,0.409579983,0.36957402,0.212560119,0.105065186,0.130511826,0.510493434,0.029606255,0.094185194,0.159065661,0.169265949,0.335224944,0.401070529,0.17758139,0.055433683,0.209927544,0.029293567,0.093105349,0.155487254,0.034492892,0.07544964,0.251555435,0.102551713,0.023605315,0.113419874,0.285249492,0.491709572,0.419608747,0.405188582,16-11-22-12-21,3.024116703,1.755092413,0.585846276,1.934721007
"CTP3-T34: key, qkd, protocol",0.212286796,0.101883832,0.016257079,0.072240912,0.19887132,0.115948807,0.230024112,0.233115593,0.196896559,0.097033859,0.391750058,0.406843703,0.227992797,0.119659577,0.137324747,0.512636301,0.016943987,0.061247029,0.170577679,0.189365961,0.387359486,0.446525984,0.172871988,0.020523637,0.242251961,0.030880297,0.109542115,0.140116942,0.034626031,0.068925621,0.234581401,0.115811178,0.020636475,0.10749176,0.273932952,0.457736998,0.433808755,0.429023106,16-22-12-11-21,2.822256731,1.333347924,0.585846276,1.534964969
"CTP3-T35: channel, entangl, show",0.114443944,0,0.027442718,0.166457314,0.03739652,0,0,0.01116554,0.199916548,0,0.027779171,0.025304063,0.036424377,0,0.002432903,0,0,0,0.018507289,0.023711362,0.032109743,0.003947838,0,0,0.039482593,0,0.011952245,0.010998819,0,0.002427492,0.059401967,0,0.016985728,0.256730021,0.585846276,0.0026455,0.585846276,0.26467882,35-34-9 -4 -1 ,0.780108855,0.175543094,0.585846276,0.288725835
"CTP3-T36: qkd, entangl, protocol",0.276392555,0.102090916,0.012481401,0.192819633,0.175124858,0.071974337,0.200105547,0.13563002,0.216091341,0.085689692,0.295271571,0.224550956,0.203429438,0.070732177,0.120679164,0.339981371,0.046829559,0.100262608,0.138338236,0.144569213,0.140853271,0.207170749,0.113706732,0.035682467,0.194483165,0.018450507,0.132274435,0.22900314,0.028937287,0.0816832,0.275095766,0.083778146,0.026235663,0.292229777,0.22514355,0.326631456,0.333306413,0.295794208,16-11-34-1 -31,2.096172454,0.757185849,0.585846276,0.943810674
"CTP3-T37: channel, qkd, key",0.108687717,0.122601129,0.008427121,0.008445316,0.101737271,0.042505811,0.177269451,0.141810477,0.260646059,0.052533978,0.308544226,0.258385453,0.126926351,0.066802038,0.088019714,0.298226341,0.027001751,0.1244487,0.115366708,0.119106673,0.238599302,0.350187949,0.124610634,0.108125276,0.157764703,0.010896297,0.033941471,0.127336118,0.039378102,0.089338934,0.16496104,0.108278362,0.015503643,0.024574607,0.510617981,0.332859531,0.375552422,0.345644511,35-22-11-16-9 ,0.524991668,0.152900716,0.585846276,0.242835976
"CTP3-T38: entangl, qkd, key",0.209907239,0.118403455,0.018217634,0.260632421,0.107228333,0.029184852,0.212390262,0.138965666,0.126507137,0.076780209,0.340627067,0.2884383,0.107210471,0.1021685,0.12224353,0.344300328,0.031800372,0.069547029,0.164019922,0.186322314,0.265790151,0.362021139,0.130965697,0.049505028,0.210144036,0.00748149,0.048426678,0.157566692,0.0186403,0.098074592,0.170049039,0.091590159,0.022600806,0.387968743,0.15205613,0.331755612,0.353334578,0.344671115,34-22-16-11-12,1.972377219,0.661455312,0.585846276,0.845273668
"CTP3-T39: qkd, protocol, key",0.288809035,0.127003345,0.019941933,0.125646528,0.22628604,0.102003363,0.236301268,0.194759295,0.211720052,0.119421732,0.365189503,0.321203201,0.249552425,0.098372977,0.135015333,0.42395835,0.039519165,0.094822897,0.168219203,0.184793532,0.25493206,0.316299285,0.136309906,0.030980569,0.248518667,0.0261484,0.098621783,0.197963047,0.024418871,0.09087634,0.30552635,0.102810757,0.022986351,0.211921013,0.285178323,0.413003894,0.357530097,0.346435338,16-11-12-22-31,2.983366894,1.841737506,0.585846276,2.00862661
